,pv_volume_to_liver,diameter_pv_to_volume_liver,diameter_pv_to_volume_pv,volume_spleen,volume_liver,lsvr,couinaud_ratio,right_to_liver,left_to_liver,posterior_to_right,IV_to_left,segment_1_to_liver,segment_2_to_liver,segment_3_to_liver,segment_4_to_liver,segment_5_to_liver,segment_6_to_liver,segment_7_to_liver,segment_8_to_liver
0,0.0,-0.05244324611518857,0.0,0.0,-0.0,2.4175308578633623,0.0,-0.4040479949050606,0.21046397164402783,0.0,-0.04585861455141063,-0.09197684681549528,0.0,-0.0,0.0,-0.6000751062620738,0.963351965641283,-0.30412435081901484,0.0
1,-0.0,-0.049665718297287595,-0.0,-0.0,-0.0,0.5386043261699852,-0.0,0.41417615200820324,-1.1845841153765264,-0.0,-0.06227908219577724,-0.6552228304850247,0.0,-0.0,0.0,-0.15200411104625794,-1.1557940618628115,0.02026059910365678,-0.0
2,-0.0,0.5238469938940499,0.0,-0.0,0.0,-0.26081838280829056,-0.0,0.6858009426020671,-1.8026865960277383,0.0,-0.04100921960750309,-0.5398566349146249,-0.0,-0.0,-0.0,1.7083365363435776,-0.1050307047810607,-0.034184287020201716,-0.0
3,0.0,-0.9231695734890758,-0.0,0.0,-0.0,2.3550723143668244,-0.0,0.3363513353945486,-0.43489612780928766,-0.0,-0.06252650407718165,0.24885078116107695,-0.0,0.0,0.0,0.45433972370434306,0.46799410811517894,0.8481029503472438,-0.0
4,0.0,-0.8829453137007788,0.0,0.0,-0.0,3.161724120832136,-0.0,1.4648369826271128,-3.5780639154650897,-0.0,-0.3899772498789569,-0.676005470671661,-0.0,-0.0,0.0,-0.518798645893854,-0.48528302589370376,1.4411929190585668,0.0
5,-0.0,0.43560901985318073,0.0,-0.0,0.0,0.32885441064280774,0.0,-0.42297355299163436,0.20018757470087806,-0.0,0.16672399988846007,-0.3406862093066652,0.0,-0.0,-0.0,-0.3669315313131188,-1.097307939509125,0.5187731116316864,-0.0
6,0.0,0.13301655569337362,0.0,0.0,0.0,1.6715027663698219,0.0,-1.4437368364935597,2.6053620566122975,-0.0,0.23974084176145277,1.9247803779839,-0.0,0.0,-0.0,-0.9136794446850568,1.0448451591614538,0.22488773933487283,-0.0
7,-0.0,0.27695309055532813,-0.0,-0.0,-0.0,-1.2636212877857018,0.0,-1.0924944334226767,1.953899299920465,0.0,0.11566132723362013,0.8195465124679594,0.0,0.0,-0.0,-0.5251170411405837,-0.003091703781357903,-1.0053248342219299,-0.0
8,-0.0,0.4269694369522985,0.0,0.0,0.0,1.4182156224023545,-0.0,1.4532987696478767,-3.573646841223281,-0.0,-0.15098851142612915,-0.4156560038397802,-0.0,-0.0,-0.0,1.3198149724404378,-1.4189059251907779,0.7610881962095862,-0.0
9,-0.0,0.11229433934543614,0.0,0.0,-0.0,1.8816368868736484,-0.0,0.30035863748378155,-0.8772798565626465,-0.0,-0.07265443288571732,-0.1323905985426271,0.0,-0.0,0.0,0.013974434454704386,-0.25973483570750966,0.7951615037037575,-0.0
10,-0.0,0.558601615130695,0.0,0.0,0.0,2.4814435629901594,0.0,-2.058638018688398,4.164103599702367,-0.0,0.2706461564833781,1.8829854737740157,0.0,0.0,-0.0,-0.07194618870023499,0.7377404332331353,-0.6668845925909802,-0.0
11,0.0,0.12769863867062115,0.0,0.0,0.0,1.9867966947212452,0.0,-0.5162520662730261,0.6019778579452557,0.0,0.12630938593022545,0.48275962933046573,0.0,-0.0,-0.0,0.2769065634821835,1.0491551969738935,-0.18560427505809005,0.0
12,0.0,-0.10446002394980035,0.0,0.0,-0.0,1.6842991947284083,0.0,-1.4692472577471596,3.046707530687637,-0.0,0.20615157854774688,4.4045730465591815,0.0,0.0,-0.0,-0.7832517331298551,0.44751777809770993,0.04279338681748663,-0.0
13,-0.0,0.5421890653237578,0.0,0.0,0.0,2.022426862633647,-0.0,-0.16045259961213187,0.16478528843947832,0.0,-0.24981461964177282,0.34974622865399124,0.0,-0.0,0.0,-0.013053951363623298,0.4451305706803016,-0.9065702131816455,-0.0
14,0.0,-0.6253816908158212,-0.0,0.0,-0.0,2.7359303317315717,0.0,-1.3188273387617144,3.232142573566456,-0.0,0.06675842672719995,0.8026366100889888,0.0,0.0,0.0,-1.147581783117389,1.0973609775149393,0.17768429684549492,-0.0
15,0.0,0.10494520470975902,0.0,-0.0,0.0,-2.1644541548872342,0.0,-0.09289418936672045,0.4289617844368191,-0.0,0.011899693941735033,0.4579817460701333,-0.0,0.0,0.0,-0.29105644980264955,0.6702865509447224,0.5971358783172545,0.0
16,-0.0,0.7057107149369432,0.0,0.0,0.0,2.4076255027236004,-0.0,0.041622295221604946,-0.41955077388848294,-0.0,0.16069153842465447,1.2277372268912217,-0.0,-0.0,-0.0,-0.8582507831745371,-0.5639130018356492,2.446050968633252,-0.0
17,-0.0,0.15775160911942399,-0.0,-0.0,-0.0,0.8160403380027538,0.0,-0.40785645519631747,0.9732756671652975,-0.0,0.22027955956974735,-0.39022127233121134,-0.0,0.0,-0.0,0.06247431556820193,-0.309656635413679,0.5196392116301571,-0.0
18,-0.0,0.4866104809743546,0.0,-0.0,0.0,0.5784693068270416,-0.0,-0.24597951099809473,0.22106260354962445,0.0,-0.30657791068960705,0.07958136062477711,0.0,0.0,0.0,0.05302059824859038,1.0274917940420882,-0.7338161162868045,-0.0
19,0.0,0.5726950977856944,0.0,0.0,0.0,1.9475127246957242,-0.0,0.5849160960580613,-1.5965864006663828,0.0,-0.27260200028203185,1.764083119698754,-0.0,-0.0,0.0,0.5722639041284031,-0.5934124696855624,-0.8867520789691397,0.0
20,-0.0,0.6531212777383993,-0.0,-0.0,0.0,-3.620924373665095,-0.0,1.7656557304100953,-4.167471995735728,-0.0,0.16915282160477052,-1.140667448350815,-0.0,-0.0,-0.0,1.9163606560942592,-1.7275054198305546,0.1450413080949682,0.0
21,-0.0,0.3355975985832029,0.0,-0.0,0.0,-1.0457041096530104,-0.0,0.9467776323997967,-2.299129694461806,0.0,-0.35301412605285815,-1.3501806627696213,-0.0,-0.0,0.0,1.3156651482427708,0.16654720995261316,-0.11859151695807245,-0.0
22,0.0,-0.29815950901033694,-0.0,0.0,-0.0,3.0417009942673476,-0.0,0.0715342805513618,-0.8857867845328472,0.0,-0.052792558352885786,0.2780253521263278,0.0,-0.0,0.0,-0.5674037703071549,-0.1629753124930323,-0.17384344280305875,0.0
23,-0.0,0.4044901749597351,0.0,0.0,0.0,2.451439936414111,0.0,-0.9929358388634673,1.9921157978481203,-0.0,0.20212943881437226,3.1436989574351157,-0.0,0.0,-0.0,-0.2342560159542649,0.5963645902267865,-0.05080778493328736,-0.0
24,0.0,-1.6218501939675776,0.0,0.0,-0.0,3.240847522239859,-0.0,-0.21635518597703682,0.06570988468408184,0.0,-0.13733209127614188,-0.5482890657633003,0.0,-0.0,0.0,0.17424677858586168,0.4076972864008962,-0.9979428870706546,0.0
25,-0.0,0.40634426094188936,0.0,0.0,0.0,1.1947256251688827,-0.0,-0.13492601921395314,-0.01680925664799776,-0.0,0.10529105796778662,0.22514141046982286,0.0,-0.0,-0.0,-0.6619487473642462,-0.19899429499668325,1.0323505684840524,-0.0
26,-0.0,0.3684328185697336,-0.0,-0.0,0.0,-2.28730449959848,-0.0,1.192153732126033,-3.062137697543291,-0.0,-0.4736114944827889,-1.1662182955976998,-0.0,-0.0,0.0,0.2382696969969915,-0.38146622273148667,0.760486502010686,0.0
27,-0.0,0.5192945604852857,0.0,-0.0,0.0,-2.2043578784671327,0.0,-1.3459589918031374,2.2260935364467156,0.0,0.09381982634571638,-0.8498402386410719,0.0,0.0,0.0,-0.3301828639140383,0.19839121952034086,-1.0934543651456694,-0.0
28,-0.0,0.5204736678829754,0.0,-0.0,0.0,0.3408610444306476,-0.0,0.6681774246777871,-1.5823638234497388,0.0,-0.4307288326725958,-0.10767061182603269,-0.0,-0.0,0.0,0.45640379065355746,0.5769880466054776,-0.5617808652886982,0.0
29,0.0,-0.8367727499025741,0.0,0.0,-0.0,3.4124679627040813,-0.0,0.9617142730311478,-1.6382448528611044,-0.0,0.018878993626727673,-0.07984917491201496,-0.0,-0.0,-0.0,0.5126859909261118,-0.8925967999380512,0.20944276215282628,0.0
30,0.0,-0.7496568667685146,-0.0,-0.0,-0.0,-0.841253798488861,-0.0,0.6059012101927829,-1.4191131018656369,0.0,-0.11376979058972109,-0.4861613563569539,-0.0,0.0,0.0,1.1192948194764865,-0.3303374714165601,-0.12897419486983172,-0.0
31,0.0,0.2057258489716133,0.0,0.0,0.0,1.9350790524277333,0.0,-1.0371267452940285,1.7824883548848665,0.0,0.06586370910692181,1.8464932942312244,0.0,-0.0,0.0,-0.3290601905571824,0.44050581795417726,-1.277146256273424,-0.0
32,0.0,0.1272835862828287,0.0,-0.0,0.0,-0.31281510519449607,-0.0,1.0023981278104304,-1.7695084300569532,0.0,-0.19016086376832247,-0.5144387423659964,-0.0,-0.0,0.0,0.5176294647610176,0.43119485938781527,1.0049666079675643,0.0
33,-0.0,0.4950551190781754,0.0,-0.0,0.0,-0.8918185198952633,0.0,-0.3661115485724485,0.7901921364170192,0.0,0.0754615524544699,-0.1999921063153287,-0.0,0.0,-0.0,0.12440071795516028,0.584022814466055,0.01380018917189007,-0.0
34,-0.0,0.8990312828957457,0.0,0.0,0.0,0.38215984976930295,0.0,-0.5105571802596287,0.6416954823885634,0.0,0.055142478532136774,-0.5367527695362958,-0.0,0.0,-0.0,0.2746163642043461,-0.096431791831006,-0.7341255222008786,-0.0
35,0.0,0.4320385073066242,0.0,0.0,0.0,1.6320125352926698,0.0,-0.872134487201579,2.3791966952684005,-0.0,0.14954092380122472,-0.940070650400582,0.0,0.0,-0.0,0.13389739024295777,-0.2562983290921633,-0.6473527511564308,-0.0
36,0.0,0.045690459428226936,0.0,-0.0,-0.0,-0.7902523489395419,-0.0,0.9978089985515314,-2.3000893191829896,-0.0,0.054234297877057296,-1.0178852800722484,-0.0,-0.0,-0.0,0.2237129959380608,-1.5428103869212193,0.44715818350525655,0.0
37,-0.0,0.38662184268671995,0.0,-0.0,0.0,-1.1694038324674487,-0.0,1.001507664226865,-2.7507710254638518,-0.0,-0.1820770892825563,-0.2269596208864728,-0.0,-0.0,-0.0,1.2025534259706874,-1.5399857889091406,-0.3926814744377237,-0.0
38,-0.0,0.7553465384830519,0.0,0.0,0.0,-0.31015341546615516,0.0,-0.3036736094411607,0.8519919109318547,0.0,-0.16179200112699002,-0.7226990852737383,-0.0,0.0,0.0,0.5514244563013447,1.4416073449606577,-1.3231059450721585,0.0
39,-0.0,-0.690942546419371,-0.0,-0.0,-0.0,0.019139303739120782,0.0,-0.9982175018962014,2.31320442102574,0.0,-0.0488843820491607,0.10086144073240041,0.0,0.0,0.0,-0.08915686401393116,0.49565814291291055,-1.4121658680642675,-0.0
40,-0.0,0.25316948277289547,-0.0,-0.0,-0.0,0.5852742686202105,0.0,-0.04396029633168109,0.47551225871740394,0.0,-0.008714393020749545,-1.500045935879064,-0.0,0.0,0.0,0.914506109185724,0.4458881521374407,-0.6500779844516882,-0.0
41,0.0,-0.15436108068417334,0.0,-0.0,-0.0,-1.053784233102249,-0.0,2.4989992875872735,-5.950923760027092,-0.0,-0.2521493116188865,-1.6611082286701486,-0.0,-0.0,-0.0,1.1848280185700932,-1.7185847947020017,0.24230997394064735,0.0
42,0.0,-0.8981823096432214,0.0,-0.0,-0.0,1.6780805737349513,-0.0,0.7037894581598193,-1.534877618551486,-0.0,0.010787585814840125,0.4657575215272773,-0.0,-0.0,-0.0,-0.004797386545059567,-0.13571902735538185,1.4213445481930473,0.0
43,0.0,-0.44017776405147685,0.0,0.0,-0.0,3.4324650045982246,0.0,-0.6069856688635265,1.1441639062780253,0.0,-0.059479970817281014,2.188801537487746,0.0,-0.0,0.0,-0.2797445167381964,1.2464304094229968,-1.1076177299688692,0.0
44,0.0,-0.32198180224851325,-0.0,0.0,-0.0,2.102442124102969,-0.0,0.16703061425092716,-0.6225065115027104,-0.0,0.06030110670883115,-0.36161900582802387,0.0,-0.0,-0.0,-0.5326710678471892,0.21295574763866076,0.5904638995719418,0.0
45,-0.0,0.07232368890007077,-0.0,-0.0,-0.0,-2.6645783641562533,-0.0,1.3855015051140167,-2.910965077117647,0.0,-0.13625279793321393,-0.7118796550104399,-0.0,-0.0,-0.0,1.0265315339125713,0.627285777121149,0.2984627473687327,0.0
46,-0.0,-0.38184247281742417,-0.0,0.0,-0.0,2.3984788938418817,-0.0,0.07036068423903219,-0.20649960601561546,-0.0,0.003328848601899488,2.2197993925222743,-0.0,-0.0,0.0,0.09055823545926098,-0.5466055386179078,0.0610592679245999,-0.0
47,0.0,0.2556265422598388,0.0,0.0,0.0,1.494067541306053,-0.0,-0.2190633397584036,0.01847035713990065,0.0,-0.15728248306444434,0.44282277133176173,0.0,-0.0,0.0,-0.6317789244190896,1.1564778417014225,-0.38606716750324854,0.0
48,-0.0,-0.004549992403077456,-0.0,-0.0,-0.0,-1.8118091766060056,-0.0,0.35337074003877583,-0.81785507398748,-0.0,0.042783760259377364,-1.3424113320971736,-0.0,0.0,-0.0,-0.5082978960861557,-1.4128014185730429,0.09731569095768691,0.0
49,-0.0,0.44005469439122347,0.0,-0.0,0.0,-0.6549722427649758,-0.0,0.9133212674149518,-2.0916256295403968,-0.0,0.18717176572801839,0.3923438732811642,-0.0,-0.0,-0.0,0.1594130902084309,-2.8925079854206706,0.5266507465997894,-0.0
50,-0.0,0.5391310146199341,0.0,-0.0,0.0,-0.024074008693487286,-0.0,1.276765297998436,-2.87865351435615,-0.0,-0.21827909695671485,0.6992448346847999,-0.0,-0.0,-0.0,-0.2131970870681909,-1.325754271661939,0.9983771401996493,0.0
51,-0.0,0.5978669263685604,-0.0,-0.0,0.0,-4.092758999940324,-0.0,0.7408439939396602,-1.9471550459603848,0.0,-0.15923523888688654,0.07969769284021813,-0.0,-0.0,0.0,0.1854111919287585,-0.3255866502331867,-0.0601702326703396,0.0
52,-0.0,0.7163026656175511,0.0,0.0,0.0,1.474865210293863,0.0,-0.5107832557095991,0.45379831632037476,0.0,0.11350160670611416,1.7042863770699574,-0.0,-0.0,-0.0,-0.3750184192286697,0.7550074563980905,-0.12555200706971323,0.0
53,0.0,0.387438726913745,0.0,0.0,0.0,2.673682172500938,-0.0,0.33852446029089234,-0.660395725043436,0.0,-0.09341553253662067,-0.38186233840600176,-0.0,0.0,0.0,1.378735398627124,0.13001681862358952,-0.35377047868677086,-0.0
54,0.0,0.17020046059658842,0.0,-0.0,0.0,-0.7866216794992062,-0.0,0.05572309483901521,-0.4304312754891709,-0.0,0.04293081600894741,-0.14383581875843174,-0.0,-0.0,-0.0,0.05280770862762174,-0.7272366431425815,1.0616989170678512,-0.0
55,0.0,-0.13966230252481843,0.0,0.0,-0.0,2.2098976297081,0.0,-2.0444674281795985,4.057373658300397,0.0,0.25434381199866957,-0.2434880008028501,0.0,0.0,-0.0,-0.7427166145461699,1.0757490228768931,-0.7168162601524906,-0.0
56,0.0,0.5280062781552866,0.0,0.0,0.0,2.0155577275219385,0.0,-0.1593315276400405,0.4546517403393435,0.0,-0.0685405114078931,0.5986016616276504,-0.0,0.0,0.0,0.43762521393382203,0.7559884980604501,-1.106123562658019,0.0
57,0.0,-1.20218722700184,-0.0,-0.0,-0.0,1.829430623978337,0.0,-0.42048830841388807,1.0069566768147342,0.0,-0.07479893199351514,1.5843977582156925,0.0,0.0,0.0,-0.43144478166018657,0.8022868320851834,-0.6246920209166268,0.0
58,-0.0,-0.20899275538422907,-0.0,-0.0,-0.0,-1.62447062455518,-0.0,0.48536465001023865,-1.186418615145787,0.0,-0.050054146583839255,-0.36247021570737364,-0.0,-0.0,-0.0,0.02854899287466633,-0.7945232499958272,-0.48676389891684974,0.0
59,-0.0,0.12158121795563075,-0.0,-0.0,-0.0,-3.8066526205254325,-0.0,0.925619467506428,-2.273005742181496,0.0,-0.2806318033107975,-1.4806366411469813,-0.0,-0.0,0.0,1.3218524349098566,-0.1729379261445343,-0.21163356638486527,-0.0
60,0.0,0.33485082267666055,0.0,0.0,0.0,1.7296213697538834,-0.0,-0.010261554132949475,-0.31158363517968746,-0.0,0.05649457039381348,1.144094875159463,-0.0,-0.0,-0.0,-0.2597273421905886,-0.6580951478873363,0.35504061187669683,-0.0
61,-0.0,0.20932607549612506,-0.0,-0.0,-0.0,-0.33536806120787677,-0.0,1.063293379521119,-2.82623447179193,-0.0,-0.16834175471034338,-0.7391497247544172,-0.0,-0.0,-0.0,0.25671128800238757,-0.8190114137489118,1.0580079708950032,0.0
62,-0.0,-0.04365349028664728,-0.0,-0.0,-0.0,-3.0771341485897694,-0.0,0.7441057614984845,-1.6822418473725476,0.0,-0.19070395086151756,-0.753526558508566,-0.0,-0.0,0.0,0.35454677237123916,0.1589151265435772,0.06357913304499592,0.0
63,-0.0,0.28427805922797267,0.0,-0.0,0.0,-0.28413683524981465,-0.0,-0.1920290841299331,-0.1475727187414059,0.0,-0.11454509497555888,-0.5040883634023193,-0.0,0.0,0.0,0.18437917853223865,1.1896003385432488,-0.26727898488922075,0.0
64,0.0,-0.10736897968808269,0.0,-0.0,-0.0,1.2363653440708473,0.0,-0.8146765164016373,1.8044557994739607,0.0,-0.09520999904188823,-0.48309369218919984,0.0,0.0,0.0,-0.0019004916867488017,0.981315631212346,-1.3245842177456624,-0.0
65,-0.0,0.2934958997871853,0.0,-0.0,-0.0,-1.4946621259134363,-0.0,0.17540592213599257,-0.5748573171900476,-0.0,0.19490076828387565,0.5794211808128378,-0.0,-0.0,-0.0,0.6428132325980882,0.12511228064384172,0.6974891439327551,-0.0
66,0.0,-0.4421404128169488,0.0,0.0,-0.0,2.4855664239415476,0.0,-1.1539001127741988,2.550397921964913,0.0,0.1136140352160877,0.5370246245565893,0.0,0.0,0.0,-0.6535472385029144,0.5248249628629014,-0.5553573219346776,-0.0
67,-0.0,-0.37628623659328686,-0.0,0.0,-0.0,2.864471128332567,0.0,-1.4003376385864332,2.823605452711496,-0.0,0.3088285647055481,1.780817067194895,0.0,0.0,-0.0,-0.6686830071173485,0.736725892646433,-0.01902036636389238,0.0
68,-0.0,0.6259351525169032,-0.0,-0.0,0.0,-0.45583005649816655,-0.0,1.2308795130190582,-2.682011546545186,-0.0,-0.1140917551524202,-0.6103636393026073,-0.0,-0.0,-0.0,0.7879068467294068,-0.8481622571650035,1.0398040360826168,-0.0
69,-0.0,-0.3290270997207663,-0.0,-0.0,-0.0,-0.08405817334574096,0.0,-0.5253343420056659,0.8408476130827282,0.0,0.031941041301335064,1.0868108288986413,0.0,-0.0,0.0,-0.8082939073130034,0.7391696309152488,-0.003689375250145032,0.0
70,-0.0,-0.6436613001273733,-0.0,-0.0,-0.0,-0.9150587180962021,0.0,-0.1946465108182506,0.7413155768378515,0.0,-0.07093909518961301,0.026190467381643455,0.0,-0.0,0.0,0.6172178816234521,0.8298386324832107,-0.5610248556145643,-0.0
71,-0.0,0.2546972072578544,-0.0,-0.0,-0.0,-0.13343780092215343,-0.0,0.462555623283897,-1.144295478882192,-0.0,0.17447704769380115,-0.6722569513402541,-0.0,0.0,-0.0,0.6071567316322102,-0.8648831728403826,0.6752125911009752,-0.0
72,0.0,-2.3415725604679674,-0.0,0.0,-0.0,3.3641740558408446,0.0,-0.4346658176800506,0.9865656043081799,0.0,-0.35703221806267027,-0.20540018733723878,0.0,-0.0,0.0,-1.5490181475284044,1.7286020866961964,-1.0847359915085333,0.0
73,0.0,0.5569771448695304,0.0,0.0,0.0,1.4070003317047501,-0.0,0.573588792835816,-1.6233776157537552,0.0,-0.04940446489605943,0.2884302745245087,-0.0,-0.0,-0.0,0.9495437862890006,-0.012563011500317613,-0.1592783682637112,0.0
74,-0.0,0.6238147604251465,-0.0,-0.0,0.0,-8.067828472387124,0.0,-0.3850297896721634,0.29388178658827496,-0.0,0.18162231787145075,0.585513499161782,0.0,-0.0,-0.0,-0.29619493436924144,-0.6120846088628092,0.2065591445711017,-0.0
75,-0.0,0.12065251705654306,-0.0,-0.0,-0.0,1.0886645223397304,-0.0,0.5005296550761353,-1.5410039717593362,0.0,-0.1696373846947956,-0.1847502745953063,-0.0,-0.0,0.0,0.2579359456272534,0.3330847862582676,-0.008649185218937587,0.0
